cited
2
1
0
1
0
5
1
0
1
9
1
0
1
0
0
1
0
1
0
0
2
2
0
0
0
2
0
2
5
0
3
2
7
1
2
2
17
0
4
0
0
4
4
3
2
2
18
2
4
0
12
11
4
5
1
2
8
2
3
17
4
14
27
8
3
1
0
2
3
3
24
0
2
4
3
9
4
0
2
0
0
7
1
0
1
0
2
1
12
1
3
26
4
2
27
9
13
52
60
15
6
17
11
6
23
4
24
5
5
16
9
11
3
16
0
38
8
157
29
127
16
20
39
55
23


