Document;Cited
 Langarica, S., Ruffelmacher, C., Nunez, F. ;9
;
;
;
 Latif, S., Zou, Z., Idrees, Z., Ahmad, J. ;4
;
;
;
;
 Kumar, P., Misra, J.P. ;0
;
;
 Usuga Cadavid, J.P., Grabot, B., Lamouri, S., Pellerin, R., Fortin, A. ;2
;
;
 Wen, X., Chen, H. ;0
;
;
;
;
 de Pinho, V.M., de Campos, M.L.R., Garcia, L.U., Popescu, D. ;0
;
 Epureanu, B.I., Li, X., Nassehi, A., Koren, Y. ;7
 Chen, B., Liu, Y., Zhang, C., Wang, Z. ;1
;
Fertsch, M.;0
Jiang, D., Lin, W., Raghavan, N.;1
;
;
;
;
;
;
 Doltsinis, S., Krestenitis, M., Doulgeri, Z. ;0
 Mamledesai, H., Soriano, M.A., Ahmad, R. ;2
;
 Herranz, G., Antolínez, A., Escartín, J., Arregi, A., Gerrikagoitia, J.K. ;1
;
;
 Li, Z., Liu, R., Wu, D. ;12
;
;
;
 Li, B.-R., Wang, Y., Dai, G.-H., Wang, K.-S. ;1
;
;
;
;
 Tsutsui, T., Matsuzawa, T. ;3
;
;
;
 Canizo, M., Triguero, I., Conde, A., Onieva, E. ;26
;
Chen, Y.-Y., Lin, Y.-H. ;4
;
;
 Rahmatov, N., Paul, A., Saeed, F., (...), Seo, H., Kim, J. ;2
;
 Wang, J., Yan, J., Li, C., Gao, R.X., Zhao, R. ;27
;
;
;
;
Tao, W., Lai, Z.-H., Leu, M.C., Yin, Z., Qin, R. ;9
;
;
Ji, C., Zhao, C., Pan, L., (...), Yang, C., Meng, X. ;13
;
;
;
 Yao, H., Mai, T., Wang, J., (...), Jiang, C., Qian, Y. ;52
;
;
 Liu, M., Yu, F.R., Teng, Y., Leung, V.C.M., Song, M. ;60
;
 Carvajal Soto, J.A., Tavakolizadeh, F., Gyulai, D. ;15
;
;
;
 Oh, Y., Ransikarbum, K., Busogi, M., Kwon, D., Kim, N. ;6
;
;
;
;
;
;
;
 Zou, Z., Qian, Y. ;17
 Oyewobi, S.S., Hancke, G.P., Abu-Mahfouz, A.M., Onumanyi, A.J. ;11
;
 Papananias, M., McLeay, T.E., Mahfouf, M., Kadirkamanathan, V. ;6
;
 Lolli, F., Balugani, E., Ishizaka, A., (...), Rimini, B., Regattieri, A. ;23
;
 Ding, K., Zhang, X., Chan, F.T.S., Chan, C.-Y., Wang, C. ;4
;
 Hesser, D.F., Markert, B. ;24
;
 Caesarendra, W., Pappachan, B.K., Wijaya, T., (...), Then, D., Manyar, O.M. ;5
;
 Vununu, C., Moon, K.-S., Lee, S.-H., Kwon, K.-R. ;5
;
;
 Maggipinto, M., Terzi, M., Masiero, C., Beghi, A., Susto, G.A. ;16
;
 Mulrennan, K., Donovan, J., Creedon, L., (...), Lyons, J.G., McAfee, M. ;9
;
Sanchez, J.A., Conde, A., Arriandiaga, A., Wang, J., ;11
;
;
 Settanni, G., Skopik, F., Wurzenberger, M., Fiedler, R. ;3
;
;
;
;
 Susto, G.A., Schirru, A., Pampuri, S., Beghi, A., De Nicolao, G. ;16
;
 Naumov, S.A., Krymskii, A.V., Lipatov, M.A., Skrabatun, D.N. ;0
 Yan, H., Wan, J., Zhang, C., (...), Hua, Q., Wang, Z. ;38
;
;
 Bakliwal, K., Dhada, M.H., Palau, A.S., Parlikad, A.K., Lad, B.K. ;8
 Wu, D., Jennings, C., Terpenny, J., Gao, R.X., Kumara, S. ;157
;
;
 Upasani, K., Bakshi, M., Pandhare, V., Lad, B.K. ;29
;
;
 Wu, D., Liu, S., Zhang, L., (...), Kurfess, T., Guzzo, J.A. ;127
;
;
;
;
 Haller, P., Genge, B. ;16
 Wang, J., Sun, Y., Zhang, W., (...), Duan, S., Shi, Y. ;20
;
 Luo, X., Liu, J., Zhang, D., Chang, X. ;39
 Yang, Z., Zhang, P., Chen, L. ;55
;
;
 Cheng, F.-T., Tieng, H., Yang, H.-C., (...), Wei, C.-F., Shieh, Z.-Y. ;23
;
;
;
